run_accession	sample_accession	experiment_accession	study_accession	tax_id	scientific_name	fastq_md5	fastq_ftp	fastq_aspera	submitted_ftp	sra_ftp	bam_ftp
SRR21934201	SAMN31319288	SRX17918111	PRJNA891295	10090	Mus musculus	30eaee096fa75f59f8778e50fbe3ec52;5a3961649687043af82825f04ca87779	ftp.sra.ebi.ac.uk/vol1/fastq/SRR219/001/SRR21934201/SRR21934201_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR219/001/SRR21934201/SRR21934201_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR219/001/SRR21934201/SRR21934201_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR219/001/SRR21934201/SRR21934201_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR219/001/SRR21934201.lite	
SRR21934202	SAMN31319288	SRX17918111	PRJNA891295	10090	Mus musculus	7715ccb1c2b3783fec9b9f84a42d9be8;1f3ea98f05733c1ca7a8750ecd477cbd	ftp.sra.ebi.ac.uk/vol1/fastq/SRR219/002/SRR21934202/SRR21934202_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR219/002/SRR21934202/SRR21934202_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR219/002/SRR21934202/SRR21934202_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR219/002/SRR21934202/SRR21934202_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR219/002/SRR21934202.lite	
SRR21934203	SAMN31319288	SRX17918111	PRJNA891295	10090	Mus musculus	1714ed530f59ed521c65bde67a7779bc;6915e50b4760e75b71776f6c7dd38300	ftp.sra.ebi.ac.uk/vol1/fastq/SRR219/003/SRR21934203/SRR21934203_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR219/003/SRR21934203/SRR21934203_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR219/003/SRR21934203/SRR21934203_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR219/003/SRR21934203/SRR21934203_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR219/003/SRR21934203.lite	
SRR21934207	SAMN31319288	SRX17918111	PRJNA891295	10090	Mus musculus	dd788d6ff0286a148a79be20d7fca3f1;dcb83bd1f251a9d94e50a173c7c2d103	ftp.sra.ebi.ac.uk/vol1/fastq/SRR219/007/SRR21934207/SRR21934207_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR219/007/SRR21934207/SRR21934207_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR219/007/SRR21934207/SRR21934207_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR219/007/SRR21934207/SRR21934207_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR219/007/SRR21934207.lite	
SRR21934209	SAMN31319288	SRX17918111	PRJNA891295	10090	Mus musculus	bda0dd7e88acc5d0ae6ae75864a17971;9db5b5c3eb0754bf8b1aee2f6609bdb0	ftp.sra.ebi.ac.uk/vol1/fastq/SRR219/009/SRR21934209/SRR21934209_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR219/009/SRR21934209/SRR21934209_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR219/009/SRR21934209/SRR21934209_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR219/009/SRR21934209/SRR21934209_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR219/009/SRR21934209.lite	
SRR21934215	SAMN31319288	SRX17918111	PRJNA891295	10090	Mus musculus	deec51b93edee5880accb4c7eabd3ce8;b81be0eb511dde35269d2cd956136344	ftp.sra.ebi.ac.uk/vol1/fastq/SRR219/015/SRR21934215/SRR21934215_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR219/015/SRR21934215/SRR21934215_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR219/015/SRR21934215/SRR21934215_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR219/015/SRR21934215/SRR21934215_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR219/015/SRR21934215.lite	
SRR21934200	SAMN31319288	SRX17918111	PRJNA891295	10090	Mus musculus	46c29bdba9a6e95080cd9c70bd586b06;6e50c35b450aa4f17108dbd0aedf8a8f	ftp.sra.ebi.ac.uk/vol1/fastq/SRR219/000/SRR21934200/SRR21934200_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR219/000/SRR21934200/SRR21934200_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR219/000/SRR21934200/SRR21934200_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR219/000/SRR21934200/SRR21934200_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR219/000/SRR21934200.lite	
SRR21934210	SAMN31319288	SRX17918111	PRJNA891295	10090	Mus musculus	83fd5a76332cf4b536515feb1ffbe396;f231dd12eefd91f8f29da5e7ec4f42d0	ftp.sra.ebi.ac.uk/vol1/fastq/SRR219/010/SRR21934210/SRR21934210_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR219/010/SRR21934210/SRR21934210_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR219/010/SRR21934210/SRR21934210_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR219/010/SRR21934210/SRR21934210_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR219/010/SRR21934210.lite	
SRR21934211	SAMN31319288	SRX17918111	PRJNA891295	10090	Mus musculus	1686ff5b47d9b8d83118dc87fbcafa48;7c001b52e99644a2fa94a32382984c39	ftp.sra.ebi.ac.uk/vol1/fastq/SRR219/011/SRR21934211/SRR21934211_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR219/011/SRR21934211/SRR21934211_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR219/011/SRR21934211/SRR21934211_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR219/011/SRR21934211/SRR21934211_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR219/011/SRR21934211.lite	
SRR21934214	SAMN31319288	SRX17918111	PRJNA891295	10090	Mus musculus	2d223c28b79caa0f2e7ff8ebada280ac;5c545a747b5361c5e07229bbb6b3bccf	ftp.sra.ebi.ac.uk/vol1/fastq/SRR219/014/SRR21934214/SRR21934214_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR219/014/SRR21934214/SRR21934214_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR219/014/SRR21934214/SRR21934214_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR219/014/SRR21934214/SRR21934214_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR219/014/SRR21934214.lite	
