file_name,expected_md5,actual_md5,is_valid,error
SRR21934215_1.fastq.gz,deec51b93edee5880accb4c7eabd3ce8,6caebd02c053e429f84f1e68a5719d41,False,
SRR21934211_1.fastq.gz,1686ff5b47d9b8d83118dc87fbcafa48,1686ff5b47d9b8d83118dc87fbcafa48,True,
SRR21934211_2.fastq.gz,7c001b52e99644a2fa94a32382984c39,7c001b52e99644a2fa94a32382984c39,True,
SRR21934214_1.fastq.gz,2d223c28b79caa0f2e7ff8ebada280ac,2d223c28b79caa0f2e7ff8ebada280ac,True,
SRR21934215_2.fastq.gz,b81be0eb511dde35269d2cd956136344,30b7ef6c9e525605b16918eedfd7898e,False,
SRR21934214_2.fastq.gz,5c545a747b5361c5e07229bbb6b3bccf,5c545a747b5361c5e07229bbb6b3bccf,True,
SRR21934209_1.fastq.gz,bda0dd7e88acc5d0ae6ae75864a17971,bda0dd7e88acc5d0ae6ae75864a17971,True,
SRR21934210_1.fastq.gz,83fd5a76332cf4b536515feb1ffbe396,83fd5a76332cf4b536515feb1ffbe396,True,
SRR21934200_1.fastq.gz,46c29bdba9a6e95080cd9c70bd586b06,46c29bdba9a6e95080cd9c70bd586b06,True,
SRR21934207_1.fastq.gz,dd788d6ff0286a148a79be20d7fca3f1,dd788d6ff0286a148a79be20d7fca3f1,True,
SRR21934209_2.fastq.gz,9db5b5c3eb0754bf8b1aee2f6609bdb0,9db5b5c3eb0754bf8b1aee2f6609bdb0,True,
SRR21934210_2.fastq.gz,f231dd12eefd91f8f29da5e7ec4f42d0,f231dd12eefd91f8f29da5e7ec4f42d0,True,
SRR21934200_2.fastq.gz,6e50c35b450aa4f17108dbd0aedf8a8f,a1d271b05d6ee75e96f864598db62c84,False,
SRR21934207_2.fastq.gz,dcb83bd1f251a9d94e50a173c7c2d103,dcb83bd1f251a9d94e50a173c7c2d103,True,
SRR21934212_2.fastq.gz,9fdfc7bc9d151a17a9717d71e79bc51a,9fdfc7bc9d151a17a9717d71e79bc51a,True,
SRR21934212_1.fastq.gz,89c0398982d2f27b2a2dda3798451257,89c0398982d2f27b2a2dda3798451257,True,
SRR21934213_2.fastq.gz,b4fa2e2c82ada34da467d004a306c93d,b4fa2e2c82ada34da467d004a306c93d,True,
SRR21934213_1.fastq.gz,1a65574d1ea559619a47a90a9f546dfa,1a65574d1ea559619a47a90a9f546dfa,True,
SRR21934204_1.fastq.gz,6ff5c620d4e1b73e8551f2511080b004,6ff5c620d4e1b73e8551f2511080b004,True,
SRR21934205_1.fastq.gz,2cc69241b578bceeea321c0e9ec7d65f,2cc69241b578bceeea321c0e9ec7d65f,True,
SRR21934206_1.fastq.gz,e77d570d28ec32d3a129864ef9888aaa,e77d570d28ec32d3a129864ef9888aaa,True,
SRR21934208_1.fastq.gz,38c9f60d7b06e2f4916f250d4e279fc2,38c9f60d7b06e2f4916f250d4e279fc2,True,
SRR21934205_2.fastq.gz,6f412c4ce3f9df55f164ba94567e5493,6f412c4ce3f9df55f164ba94567e5493,True,
SRR21934204_2.fastq.gz,693781299c11333994f01f65cdb78e48,693781299c11333994f01f65cdb78e48,True,
SRR21934206_2.fastq.gz,9df571e454599f5bee4818fdd202d1f0,9df571e454599f5bee4818fdd202d1f0,True,
SRR21934208_2.fastq.gz,77a6938507d9033a36cd851edfce9725,77a6938507d9033a36cd851edfce9725,True,
SRR21934171_1.fastq.gz,ce56a4d7d1a4a60d78f20a551c923126,ce56a4d7d1a4a60d78f20a551c923126,True,
SRR21934171_2.fastq.gz,75482f29e7353b0575363b34e159ab91,75482f29e7353b0575363b34e159ab91,True,
SRR21934217_1.fastq.gz,3997b3df2498e72df1d12061992c784d,b4ba9823c2d7d10934f8592047a1d2da,False,
SRR21934217_2.fastq.gz,ab936e87c1fbdff92c9cebd10f584cfa,ab936e87c1fbdff92c9cebd10f584cfa,True,
SRR21934172_1.fastq.gz,0558246ffdb71c7d860a9599ffec3592,e312dd2740dcacca6a0d3d0191db626a,False,
SRR21934172_2.fastq.gz,d1810120ae6a8681e082c85575006ff4,d1810120ae6a8681e082c85575006ff4,True,
SRR21934176_2.fastq.gz,a3cc26bb2c6f5bf44d7af22ea0be0624,18fd3873f12946aaeb2fcfd9056a1a2b,False,
SRR21934202_1.fastq.gz,7715ccb1c2b3783fec9b9f84a42d9be8,7715ccb1c2b3783fec9b9f84a42d9be8,True,
SRR21934203_1.fastq.gz,1714ed530f59ed521c65bde67a7779bc,f4bf550e090af70bd53f653cf3b6c5c3,False,
SRR21934201_1.fastq.gz,30eaee096fa75f59f8778e50fbe3ec52,77da509cafbbafcf4f5a2a3d05433aa3,False,
SRR21934176_1.fastq.gz,10d37b12e7c3a91264563cbe1cd7a6c2,10d37b12e7c3a91264563cbe1cd7a6c2,True,
SRR21934203_2.fastq.gz,6915e50b4760e75b71776f6c7dd38300,6915e50b4760e75b71776f6c7dd38300,True,
SRR21934202_2.fastq.gz,1f3ea98f05733c1ca7a8750ecd477cbd,1f3ea98f05733c1ca7a8750ecd477cbd,True,
SRR21934201_2.fastq.gz,5a3961649687043af82825f04ca87779,5a3961649687043af82825f04ca87779,True,
